"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Aug 17 09:41:07 CST 2021","Tue Aug 17 09:41:07 CST 2021","47","meiziku","test_selfvideo","","","","编辑影片详情-不传参数","不传参数"
"skipped","Tue Aug 17 09:41:09 CST 2021","Tue Aug 17 09:41:10 CST 2021","131","meiziku","test_selfvideo","","","","获取自有原片列表-分页-传入参数page","传入参数page"
"passed","Tue Aug 17 09:41:08 CST 2021","Tue Aug 17 09:41:08 CST 2021","79","meiziku","test_selfvideo","","","","编辑影片详情-播放格式为2","传入参数id,playerFormatKey,playerFormatKey=2"
"skipped","Tue Aug 17 09:41:06 CST 2021","Tue Aug 17 09:41:06 CST 2021","25","meiziku","test_accesskey","","","","创建appkey-不传参数","不传参数"
"passed","Tue Aug 17 09:41:10 CST 2021","Tue Aug 17 09:41:10 CST 2021","28","meiziku","test_selfvideo","","","","执行阿里云MPS转码切片-传入参数templateId，参数的值正确","传入参数templateId，参数的值正确"
"passed","Tue Aug 17 09:41:08 CST 2021","Tue Aug 17 09:41:08 CST 2021","76","meiziku","test_selfvideo","","","","编辑影片详情-编辑横板海报","传入参数id,vertical"
"skipped","Tue Aug 17 09:41:11 CST 2021","Tue Aug 17 09:41:11 CST 2021","44","meiziku","test_selfvideo","","","","执行阿里云MPS截图-不传参数","不传参数"
"passed","Tue Aug 17 09:41:08 CST 2021","Tue Aug 17 09:41:08 CST 2021","79","meiziku","test_selfvideo","","","","编辑影片详情-播放格式为3","传入参数id,playerFormatKey,playerFormatKey=3"
"passed","Tue Aug 17 09:41:09 CST 2021","Tue Aug 17 09:41:09 CST 2021","62","meiziku","test_selfvideo","","","","获取影片详情","传入参数id 参数值正确"
"passed","Tue Aug 17 09:41:11 CST 2021","Tue Aug 17 09:41:11 CST 2021","33","meiziku","test_selfvideo","","","","从阿里云同步原片","不传参数"
"passed","Tue Aug 17 09:41:10 CST 2021","Tue Aug 17 09:41:10 CST 2021","30","meiziku","test_selfvideo","","","","执行阿里云MPS转码切片","传入参数encryption、id、templateId，参数的值正确"
"skipped","Tue Aug 17 09:41:06 CST 2021","Tue Aug 17 09:41:06 CST 2021","26","meiziku","test_accesskey","","","","删除appkey-不传参数","不传参数"
"passed","Tue Aug 17 09:41:07 CST 2021","Tue Aug 17 09:41:07 CST 2021","96","meiziku","test_selfvideo","","","","获取配置项","不传入参数"
"passed","Tue Aug 17 09:41:05 CST 2021","Tue Aug 17 09:41:05 CST 2021","43","meiziku","test_accesskey","","","","获取appkey-传入参数q,参数值不正确","传入参数q,参数值不正确"
"skipped","Tue Aug 17 09:41:09 CST 2021","Tue Aug 17 09:41:09 CST 2021","67","meiziku","test_selfvideo","","","","编辑影片详情-编辑视频类型为不存在的内容","传入参数id,videoFormatKey"
"passed","Tue Aug 17 09:41:07 CST 2021","Tue Aug 17 09:41:07 CST 2021","82","meiziku","test_selfvideo","","","","编辑影片详情-修改演员","传入参数id,actors,参数值正确"
"passed","Tue Aug 17 09:41:10 CST 2021","Tue Aug 17 09:41:10 CST 2021","30","meiziku","test_selfvideo","","","","执行阿里云MPS转码切片-传入参数encryption、id、templateId、seek，参数的值正确","-传入参数encryption、id、templateId、seek，参数的值正确"
"passed","Tue Aug 17 09:41:10 CST 2021","Tue Aug 17 09:41:11 CST 2021","817","meiziku","test_selfvideo","","","","执行阿里云MPS截图-参数值正确","传入参数id 参数值正确"
"passed","Tue Aug 17 09:41:11 CST 2021","Tue Aug 17 09:41:12 CST 2021","100","meiziku","test_selfvideo","","","","获取转码模板列表","不传参数"
